id,gene,gene_link,full_name,diseases,diseases_link,no_of_snps
1001,IL2RB,https://www.snpedia.com/index.php/IL2RB,"interleukin 2 receptor, beta",IL2RB,http://diseases.jensenlab.org/Search?query=IL2RB,26
1002,IL31,https://www.snpedia.com/index.php/IL31,interleukin 31,IL31,http://diseases.jensenlab.org/Search?query=IL31,5
1003,IL4,https://www.snpedia.com/index.php/IL4,interleukin 4,IL4,http://diseases.jensenlab.org/Search?query=IL4,30
1004,IL6,https://www.snpedia.com/index.php/IL6,"interleukin 6 (interferon, beta 2)",IL6,http://diseases.jensenlab.org/Search?query=IL6,6
1005,IL6R,https://www.snpedia.com/index.php/IL6R,interleukin 6 receptor,IL6R,http://diseases.jensenlab.org/Search?query=IL6R,3
1006,IL6ST,https://www.snpedia.com/index.php/IL6ST,interleukin 6 signal transducer,IL6ST,http://diseases.jensenlab.org/Search?query=IL6ST,7
1007,ILDR1,https://www.snpedia.com/index.php/ILDR1,immunoglobulin-like domain containing receptor 1,ILDR1,http://diseases.jensenlab.org/Search?query=ILDR1,26
1008,IMMP2L,https://www.snpedia.com/index.php/IMMP2L,inner mitochondrial membrane peptidase subunit 2,IMMP2L,http://diseases.jensenlab.org/Search?query=IMMP2L,26
1009,IMPA1,https://www.snpedia.com/index.php/IMPA1,inositol(myo)-1(or 4)-monophosphatase 1,IMPA1,http://diseases.jensenlab.org/Search?query=IMPA1,6
1010,IMPDH1,https://www.snpedia.com/index.php/IMPDH1,IMP (inosine 5'-monophosphate) dehydrogenase 1,IMPDH1,http://diseases.jensenlab.org/Search?query=IMPDH1,3
1011,IMPDH2,https://www.snpedia.com/index.php/IMPDH2,IMP (inosine 5'-monophosphate) dehydrogenase 2,IMPDH2,http://diseases.jensenlab.org/Search?query=IMPDH2,15
1012,INF2,https://www.snpedia.com/index.php/INF2,"inverted formin, FH2 and WH2 domain containing",INF2,http://diseases.jensenlab.org/Search?query=INF2,4
1013,INPPL1,https://www.snpedia.com/index.php/INPPL1,inositol polyphosphate phosphatase like 1,INPPL1,http://diseases.jensenlab.org/Search?query=INPPL1,9
1014,INSL6,https://www.snpedia.com/index.php/INSL6,null,INSL6,http://diseases.jensenlab.org/Search?query=INSL6,9
1015,INSR,https://www.snpedia.com/index.php/INSR,insulin receptor,INSR,http://diseases.jensenlab.org/Search?query=INSR,15
1016,INVS,https://www.snpedia.com/index.php/INVS,inversin,INVS,http://diseases.jensenlab.org/Search?query=INVS,12
1017,IRAK1,https://www.snpedia.com/index.php/IRAK1,interleukin-1 receptor-associated kinase 1,IRAK1,http://diseases.jensenlab.org/Search?query=IRAK1,16
1018,IRAK3,https://www.snpedia.com/index.php/IRAK3,interleukin-1 receptor-associated kinase 3,IRAK3,http://diseases.jensenlab.org/Search?query=IRAK3,3
1019,IRF1,https://www.snpedia.com/index.php/IRF1,interferon regulatory factor 1,IRF1,http://diseases.jensenlab.org/Search?query=IRF1,9
1020,IRF2,https://www.snpedia.com/index.php/IRF2,interferon regulatory factor 2,IRF2,http://diseases.jensenlab.org/Search?query=IRF2,10
1021,IRF5,https://www.snpedia.com/index.php/IRF5,interferon regulatory factor 5,IRF5,http://diseases.jensenlab.org/Search?query=IRF5,12
1022,IRF7,https://www.snpedia.com/index.php/IRF7,interferon regulatory factor 7,IRF7,http://diseases.jensenlab.org/Search?query=IRF7,15
1023,IRF8,https://www.snpedia.com/index.php/IRF8,interferon regulatory factor 8,IRF8,http://diseases.jensenlab.org/Search?query=IRF8,15
1024,IRS1,https://www.snpedia.com/index.php/IRS1,null,IRS1,http://diseases.jensenlab.org/Search?query=IRS1,5
1025,IRS2,https://www.snpedia.com/index.php/IRS2,insulin receptor substrate 2,IRS2,http://diseases.jensenlab.org/Search?query=IRS2,22
1026,ISG15,https://www.snpedia.com/index.php/ISG15,null,ISG15,http://diseases.jensenlab.org/Search?query=ISG15,8
1027,ITGA2B,https://www.snpedia.com/index.php/ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",ITGA2B,http://diseases.jensenlab.org/Search?query=ITGA2B,16
1028,ITGA9,https://www.snpedia.com/index.php/ITGA9,"integrin, alpha 9",ITGA9,http://diseases.jensenlab.org/Search?query=ITGA9,5
1029,ITGAL,https://www.snpedia.com/index.php/ITGAL,null,ITGAL,http://diseases.jensenlab.org/Search?query=ITGAL,13
1030,ITGAV,https://www.snpedia.com/index.php/ITGAV,"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)",ITGAV,http://diseases.jensenlab.org/Search?query=ITGAV,2
1031,ITGB3,https://www.snpedia.com/index.php/ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",ITGB3,http://diseases.jensenlab.org/Search?query=ITGB3,5
1032,ITIH3,https://www.snpedia.com/index.php/ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,ITIH3,http://diseases.jensenlab.org/Search?query=ITIH3,3
1033,ITPA,https://www.snpedia.com/index.php/ITPA,inosine triphosphatase (nucleoside triphosphate pyrophosphatase),ITPA,http://diseases.jensenlab.org/Search?query=ITPA,24
1034,ITPKC,https://www.snpedia.com/index.php/ITPKC,null,ITPKC,http://diseases.jensenlab.org/Search?query=ITPKC,22
1035,ITPR2,https://www.snpedia.com/index.php/ITPR2,"inositol 1,4,5-trisphosphate receptor, type 2",ITPR2,http://diseases.jensenlab.org/Search?query=ITPR2,5
1036,ITPR3,https://www.snpedia.com/index.php/ITPR3,"inositol 1,4,5-triphosphate receptor, type 3",ITPR3,http://diseases.jensenlab.org/Search?query=ITPR3,6
1037,IVD,https://www.snpedia.com/index.php/IVD,isovaleryl-CoA dehydrogenase,IVD,http://diseases.jensenlab.org/Search?query=IVD,0
1038,JAK1,https://www.snpedia.com/index.php/JAK1,Janus kinase 1,JAK1,http://diseases.jensenlab.org/Search?query=JAK1,3
1039,JAK2,https://www.snpedia.com/index.php/JAK2,Janus kinase 2,JAK2,http://diseases.jensenlab.org/Search?query=JAK2,3
1040,JAK3,https://www.snpedia.com/index.php/JAK3,Janus kinase 3,JAK3,http://diseases.jensenlab.org/Search?query=JAK3,21
1041,JARID2,https://www.snpedia.com/index.php/JARID2,"jumonji, AT rich interactive domain 2",JARID2,http://diseases.jensenlab.org/Search?query=JARID2,72
1042,JUP,https://www.snpedia.com/index.php/JUP,junction plakoglobin,JUP,http://diseases.jensenlab.org/Search?query=JUP,3
1043,KALP,https://www.snpedia.com/index.php/KALP,null,KALP,http://diseases.jensenlab.org/Search?query=KALP,1
1044,KARS,https://www.snpedia.com/index.php/KARS,lysyl-tRNA synthetase,KARS,http://diseases.jensenlab.org/Search?query=KARS,4
1045,KAT6B,https://www.snpedia.com/index.php/KAT6B,null,KAT6B,http://diseases.jensenlab.org/Search?query=KAT6B,2
1046,KATP,https://www.snpedia.com/index.php/KATP,null,KATP,http://diseases.jensenlab.org/Search?query=KATP,17
1047,KCNA2,https://www.snpedia.com/index.php/KCNA2,null,KCNA2,http://diseases.jensenlab.org/Search?query=KCNA2,24
1048,KCNA3,https://www.snpedia.com/index.php/KCNA3,"potassium voltage-gated channel, shaker-related subfamily, member 3",KCNA3,http://diseases.jensenlab.org/Search?query=KCNA3,3
1049,KCNA5,https://www.snpedia.com/index.php/KCNA5,null,KCNA5,http://diseases.jensenlab.org/Search?query=KCNA5,7
1050,KCNB1,https://www.snpedia.com/index.php/KCNB1,null,KCNB1,http://diseases.jensenlab.org/Search?query=KCNB1,11
1051,KCNC1,https://www.snpedia.com/index.php/KCNC1,null,KCNC1,http://diseases.jensenlab.org/Search?query=KCNC1,5
1052,KCND3,https://www.snpedia.com/index.php/KCND3,null,KCND3,http://diseases.jensenlab.org/Search?query=KCND3,30
1053,KCNE1,https://www.snpedia.com/index.php/KCNE1,"potassium voltage-gated channel, Isk-related family, member 1",KCNE1,http://diseases.jensenlab.org/Search?query=KCNE1,2
1054,KCNE3,https://www.snpedia.com/index.php/KCNE3,null,KCNE3,http://diseases.jensenlab.org/Search?query=KCNE3,6
1055,KCNH1,https://www.snpedia.com/index.php/KCNH1,"potassium channel, voltage gated eag related subfamily H, member 1",KCNH1,http://diseases.jensenlab.org/Search?query=KCNH1,9
1056,KCNH2,https://www.snpedia.com/index.php/KCNH2,"potassium channel, voltage gated eag related subfamily H, member 2",KCNH2,http://diseases.jensenlab.org/Search?query=KCNH2,21
1057,KCNJ1,https://www.snpedia.com/index.php/KCNJ1,"potassium inwardly-rectifying channel, subfamily J, member 1",KCNJ1,http://diseases.jensenlab.org/Search?query=KCNJ1,8
1058,KCNJ10,https://www.snpedia.com/index.php/KCNJ10,"potassium inwardly-rectifying channel, subfamily J, member 10",KCNJ10,http://diseases.jensenlab.org/Search?query=KCNJ10,6
1059,KCNJ11,https://www.snpedia.com/index.php/KCNJ11,"potassium inwardly-rectifying channel, subfamily J, member 11",KCNJ11,http://diseases.jensenlab.org/Search?query=KCNJ11,4
1060,KCNJ16,https://www.snpedia.com/index.php/KCNJ16,null,KCNJ16,http://diseases.jensenlab.org/Search?query=KCNJ16,1
1061,KCNJ2,https://www.snpedia.com/index.php/KCNJ2,null,KCNJ2,http://diseases.jensenlab.org/Search?query=KCNJ2,0
1062,KCNJ5,https://www.snpedia.com/index.php/KCNJ5,null,KCNJ5,http://diseases.jensenlab.org/Search?query=KCNJ5,8
1063,KCNK2,https://www.snpedia.com/index.php/KCNK2,null,KCNK2,http://diseases.jensenlab.org/Search?query=KCNK2,17
1064,KCNMA1,https://www.snpedia.com/index.php/KCNMA1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1",KCNMA1,http://diseases.jensenlab.org/Search?query=KCNMA1,4
1065,KCNN4,https://www.snpedia.com/index.php/KCNN4,"potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4",KCNN4,http://diseases.jensenlab.org/Search?query=KCNN4,40
1066,KCNQ1,https://www.snpedia.com/index.php/KCNQ1,"potassium voltage-gated channel, KQT-like subfamily, member 1",KCNQ1,http://diseases.jensenlab.org/Search?query=KCNQ1,16
1067,KCNQ1-AS1,https://www.snpedia.com/index.php/KCNQ1-AS1,null,KCNQ1-AS1,http://diseases.jensenlab.org/Search?query=KCNQ1-AS1,3
1068,KCNQ2,https://www.snpedia.com/index.php/KCNQ2,"potassium voltage-gated channel, KQT-like subfamily, member 2",KCNQ2,http://diseases.jensenlab.org/Search?query=KCNQ2,2
1069,KCNQ4,https://www.snpedia.com/index.php/KCNQ4,"potassium voltage-gated channel, KQT-like subfamily, member 4",KCNQ4,http://diseases.jensenlab.org/Search?query=KCNQ4,10
1070,KCNT1,https://www.snpedia.com/index.php/KCNT1,null,KCNT1,http://diseases.jensenlab.org/Search?query=KCNT1,16
1071,KCNU1,https://www.snpedia.com/index.php/KCNU1,null,KCNU1,http://diseases.jensenlab.org/Search?query=KCNU1,11
1072,KCNV2,https://www.snpedia.com/index.php/KCNV2,null,KCNV2,http://diseases.jensenlab.org/Search?query=KCNV2,2
1073,KCTD7,https://www.snpedia.com/index.php/KCTD7,null,KCTD7,http://diseases.jensenlab.org/Search?query=KCTD7,1
1074,KDM5B,https://www.snpedia.com/index.php/KDM5B,lysine (K)-specific demethylase 5B,KDM5B,http://diseases.jensenlab.org/Search?query=KDM5B,10
1075,KDM5D,https://www.snpedia.com/index.php/KDM5D,lysine (K)-specific demethylase 5D,KDM5D,http://diseases.jensenlab.org/Search?query=KDM5D,1
1076,KDR,https://www.snpedia.com/index.php/KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),KDR,http://diseases.jensenlab.org/Search?query=KDR,1
1077,KEL,https://www.snpedia.com/index.php/KEL,"Kell blood group, metallo-endopeptidase",KEL,http://diseases.jensenlab.org/Search?query=KEL,3
1078,KIAA0319,https://www.snpedia.com/index.php/KIAA0319,KIAA0319,KIAA0319,http://diseases.jensenlab.org/Search?query=KIAA0319,27
1079,KIAA1468,https://www.snpedia.com/index.php/KIAA1468,null,KIAA1468,http://diseases.jensenlab.org/Search?query=KIAA1468,6
1080,KIF1A,https://www.snpedia.com/index.php/KIF1A,null,KIF1A,http://diseases.jensenlab.org/Search?query=KIF1A,12
1081,KIF1B,https://www.snpedia.com/index.php/KIF1B,kinesin family member 1B,KIF1B,http://diseases.jensenlab.org/Search?query=KIF1B,17
1082,KIF22,https://www.snpedia.com/index.php/KIF22,null,KIF22,http://diseases.jensenlab.org/Search?query=KIF22,6
1083,KIF5A,https://www.snpedia.com/index.php/KIF5A,kinesin family member 5A,KIF5A,http://diseases.jensenlab.org/Search?query=KIF5A,26
1084,KIF6,https://www.snpedia.com/index.php/KIF6,kinesin family member 6,KIF6,http://diseases.jensenlab.org/Search?query=KIF6,1
1085,KIRREL3,https://www.snpedia.com/index.php/KIRREL3,kin of IRRE like 3 (Drosophila),KIRREL3,http://diseases.jensenlab.org/Search?query=KIRREL3,6
1086,KIT,https://www.snpedia.com/index.php/KIT,null,KIT,http://diseases.jensenlab.org/Search?query=KIT,3
1087,KITLG,https://www.snpedia.com/index.php/KITLG,KIT ligand,KITLG,http://diseases.jensenlab.org/Search?query=KITLG,0
1088,KL,https://www.snpedia.com/index.php/KL,klotho,KL,http://diseases.jensenlab.org/Search?query=KL,6
1089,KLC1,https://www.snpedia.com/index.php/KLC1,null,KLC1,http://diseases.jensenlab.org/Search?query=KLC1,0
1090,KLF6,https://www.snpedia.com/index.php/KLF6,null,KLF6,http://diseases.jensenlab.org/Search?query=KLF6,3
1091,KLK11,https://www.snpedia.com/index.php/KLK11,kallikrein-related peptidase 11,KLK11,http://diseases.jensenlab.org/Search?query=KLK11,5
1092,KLK3,https://www.snpedia.com/index.php/KLK3,kallikrein-related peptidase 3,KLK3,http://diseases.jensenlab.org/Search?query=KLK3,2
1093,KLKB1,https://www.snpedia.com/index.php/KLKB1,"kallikrein B, plasma (Fletcher factor) 1",KLKB1,http://diseases.jensenlab.org/Search?query=KLKB1,31
1094,KNG1,https://www.snpedia.com/index.php/KNG1,kininogen 1,KNG1,http://diseases.jensenlab.org/Search?query=KNG1,20
1095,KPNA4,https://www.snpedia.com/index.php/KPNA4,null,KPNA4,http://diseases.jensenlab.org/Search?query=KPNA4,6
1096,KRAS,https://www.snpedia.com/index.php/KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,KRAS,http://diseases.jensenlab.org/Search?query=KRAS,39
1097,KRIT1,https://www.snpedia.com/index.php/KRIT1,null,KRIT1,http://diseases.jensenlab.org/Search?query=KRIT1,69
1098,KRT1,https://www.snpedia.com/index.php/KRT1,null,KRT1,http://diseases.jensenlab.org/Search?query=KRT1,6
1099,KRT13,https://www.snpedia.com/index.php/KRT13,keratin 13,KRT13,http://diseases.jensenlab.org/Search?query=KRT13,11
1100,KRT14,https://www.snpedia.com/index.php/KRT14,keratin 14,KRT14,http://diseases.jensenlab.org/Search?query=KRT14,8
1101,KRT5,https://www.snpedia.com/index.php/KRT5,keratin 5,KRT5,http://diseases.jensenlab.org/Search?query=KRT5,32
1102,KSNQ2,https://www.snpedia.com/index.php/KSNQ2,null,KSNQ2,http://diseases.jensenlab.org/Search?query=KSNQ2,1
1103,KSR2,https://www.snpedia.com/index.php/KSR2,kinase suppressor of ras 2,KSR2,http://diseases.jensenlab.org/Search?query=KSR2,18
1104,KTN1,https://www.snpedia.com/index.php/KTN1,kinectin 1 (kinesin receptor),KTN1,http://diseases.jensenlab.org/Search?query=KTN1,3
1105,LACC1,https://www.snpedia.com/index.php/LACC1,null,LACC1,http://diseases.jensenlab.org/Search?query=LACC1,4
1106,LAMA2,https://www.snpedia.com/index.php/LAMA2,"laminin, alpha 2",LAMA2,http://diseases.jensenlab.org/Search?query=LAMA2,1
1107,LAMA3,https://www.snpedia.com/index.php/LAMA3,laminin subunit alpha 3,LAMA3,http://diseases.jensenlab.org/Search?query=LAMA3,1
1108,LAMB1,https://www.snpedia.com/index.php/LAMB1,"laminin, beta 1",LAMB1,http://diseases.jensenlab.org/Search?query=LAMB1,1
1109,LAMB2,https://www.snpedia.com/index.php/LAMB2,"laminin, beta 2 (laminin S)",LAMB2,http://diseases.jensenlab.org/Search?query=LAMB2,8
1110,LAMB3,https://www.snpedia.com/index.php/LAMB3,"laminin, beta 3",LAMB3,http://diseases.jensenlab.org/Search?query=LAMB3,18
1111,LAMB4,https://www.snpedia.com/index.php/LAMB4,"laminin, beta 4",LAMB4,http://diseases.jensenlab.org/Search?query=LAMB4,14
1112,LAMC1,https://www.snpedia.com/index.php/LAMC1,"laminin, gamma 1 (formerly LAMB2)",LAMC1,http://diseases.jensenlab.org/Search?query=LAMC1,15
1113,LAMC2,https://www.snpedia.com/index.php/LAMC2,laminin subunit gamma 2,LAMC2,http://diseases.jensenlab.org/Search?query=LAMC2,18
1114,LARS2,https://www.snpedia.com/index.php/LARS2,"leucyl-tRNA synthetase 2, mitochondrial",LARS2,http://diseases.jensenlab.org/Search?query=LARS2,13
1115,LASP1,https://www.snpedia.com/index.php/LASP1,null,LASP1,http://diseases.jensenlab.org/Search?query=LASP1,6
1116,LBP,https://www.snpedia.com/index.php/LBP,lipopolysaccharide binding protein,LBP,http://diseases.jensenlab.org/Search?query=LBP,9
1117,LCE1D,https://www.snpedia.com/index.php/LCE1D,null,LCE1D,http://diseases.jensenlab.org/Search?query=LCE1D,2
1118,LCT,https://www.snpedia.com/index.php/LCT,lactase,LCT,http://diseases.jensenlab.org/Search?query=LCT,2
1119,LDB3,https://www.snpedia.com/index.php/LDB3,LIM domain binding 3,LDB3,http://diseases.jensenlab.org/Search?query=LDB3,531
1120,LDLR,https://www.snpedia.com/index.php/LDLR,low density lipoprotein receptor,LDLR,http://diseases.jensenlab.org/Search?query=LDLR,924
1121,LDLRAP1,https://www.snpedia.com/index.php/LDLRAP1,low density lipoprotein receptor adaptor protein 1,LDLRAP1,http://diseases.jensenlab.org/Search?query=LDLRAP1,913
1122,LEP,https://www.snpedia.com/index.php/LEP,null,LEP,http://diseases.jensenlab.org/Search?query=LEP,1
1123,LEPR,https://www.snpedia.com/index.php/LEPR,leptin receptor,LEPR,http://diseases.jensenlab.org/Search?query=LEPR,2
1124,LHCGR,https://www.snpedia.com/index.php/LHCGR,luteinizing hormone/choriogonadotropin receptor,LHCGR,http://diseases.jensenlab.org/Search?query=LHCGR,0
1125,LHFP,https://www.snpedia.com/index.php/LHFP,lipoma HMGIC fusion partner,LHFP,http://diseases.jensenlab.org/Search?query=LHFP,14
1126,LHFPL5,https://www.snpedia.com/index.php/LHFPL5,lipoma HMGIC fusion partner-like 5,LHFPL5,http://diseases.jensenlab.org/Search?query=LHFPL5,0
1127,LIG4,https://www.snpedia.com/index.php/LIG4,"ligase IV, DNA, ATP-dependent",LIG4,http://diseases.jensenlab.org/Search?query=LIG4,12
1128,LINC-PINT,https://www.snpedia.com/index.php/LINC-PINT,"long intergenic non-protein coding RNA, p53 induced transcript",LINC-PINT,http://diseases.jensenlab.org/Search?query=LINC-PINT,22
1129,LIPC,https://www.snpedia.com/index.php/LIPC,"lipase, hepatic",LIPC,http://diseases.jensenlab.org/Search?query=LIPC,123
1130,LIPT1,https://www.snpedia.com/index.php/LIPT1,lipoyltransferase 1,LIPT1,http://diseases.jensenlab.org/Search?query=LIPT1,0
1131,LLGL2,https://www.snpedia.com/index.php/LLGL2,lethal giant larvae homolog 2 (Drosophila),LLGL2,http://diseases.jensenlab.org/Search?query=LLGL2,14
1132,LMBRD1,https://www.snpedia.com/index.php/LMBRD1,LMBR1 domain containing 1,LMBRD1,http://diseases.jensenlab.org/Search?query=LMBRD1,1
1133,LMNA,https://www.snpedia.com/index.php/LMNA,lamin A/C,LMNA,http://diseases.jensenlab.org/Search?query=LMNA,6
1134,LMNB2,https://www.snpedia.com/index.php/LMNB2,lamin B2,LMNB2,http://diseases.jensenlab.org/Search?query=LMNB2,6
1135,LOC100289168,https://www.snpedia.com/index.php/LOC100289168,hypothetical protein LOC100289168,LOC100289168,http://diseases.jensenlab.org/Search?query=LOC100289168,3
1136,LOC100289233,https://www.snpedia.com/index.php/LOC100289233,hypothetical protein LOC100289233,LOC100289233,http://diseases.jensenlab.org/Search?query=LOC100289233,14
1137,LOC100289398,https://www.snpedia.com/index.php/LOC100289398,null,LOC100289398,http://diseases.jensenlab.org/Search?query=LOC100289398,9
1138,LOC100289553,https://www.snpedia.com/index.php/LOC100289553,hypothetical LOC100289553,LOC100289553,http://diseases.jensenlab.org/Search?query=LOC100289553,2
1139,LOC100533723,https://www.snpedia.com/index.php/LOC100533723,null,LOC100533723,http://diseases.jensenlab.org/Search?query=LOC100533723,33
1140,LOC100652931,https://www.snpedia.com/index.php/LOC100652931,null,LOC100652931,http://diseases.jensenlab.org/Search?query=LOC100652931,46
1141,LOC101929679,https://www.snpedia.com/index.php/LOC101929679,null,LOC101929679,http://diseases.jensenlab.org/Search?query=LOC101929679,413
1142,LOC105376512,https://www.snpedia.com/index.php/LOC105376512,null,LOC105376512,http://diseases.jensenlab.org/Search?query=LOC105376512,124
1143,LOC105377223,https://www.snpedia.com/index.php/LOC105377223,null,LOC105377223,http://diseases.jensenlab.org/Search?query=LOC105377223,168
1144,LOC105377329,https://www.snpedia.com/index.php/LOC105377329,null,LOC105377329,http://diseases.jensenlab.org/Search?query=LOC105377329,6
1145,LOC107987344,https://www.snpedia.com/index.php/LOC107987344,null,LOC107987344,http://diseases.jensenlab.org/Search?query=LOC107987344,3
1146,LOC388210,https://www.snpedia.com/index.php/LOC388210,null,LOC388210,http://diseases.jensenlab.org/Search?query=LOC388210,2
1147,LOC729065,https://www.snpedia.com/index.php/LOC729065,null,LOC729065,http://diseases.jensenlab.org/Search?query=LOC729065,0
1148,LOXHD1,https://www.snpedia.com/index.php/LOXHD1,lipoxygenase homology domains 1,LOXHD1,http://diseases.jensenlab.org/Search?query=LOXHD1,1
1149,LOXL1,https://www.snpedia.com/index.php/LOXL1,lysyl oxidase-like 1,LOXL1,http://diseases.jensenlab.org/Search?query=LOXL1,4
1150,LPA,https://www.snpedia.com/index.php/LPA,"lipoprotein, Lp(a)",LPA,http://diseases.jensenlab.org/Search?query=LPA,4
1151,LPHN3,https://www.snpedia.com/index.php/LPHN3,latrophilin 3,LPHN3,http://diseases.jensenlab.org/Search?query=LPHN3,1
1152,LPL,https://www.snpedia.com/index.php/LPL,lipoprotein lipase,LPL,http://diseases.jensenlab.org/Search?query=LPL,20
1153,LPP,https://www.snpedia.com/index.php/LPP,LIM domain containing preferred translocation partner in lipoma,LPP,http://diseases.jensenlab.org/Search?query=LPP,2
1154,LRP1,https://www.snpedia.com/index.php/LRP1,LDL receptor related protein 1,LRP1,http://diseases.jensenlab.org/Search?query=LRP1,0
1155,LRP4,https://www.snpedia.com/index.php/LRP4,low density lipoprotein receptor-related protein 4,LRP4,http://diseases.jensenlab.org/Search?query=LRP4,3
1156,LRP5,https://www.snpedia.com/index.php/LRP5,low density lipoprotein receptor-related protein 5,LRP5,http://diseases.jensenlab.org/Search?query=LRP5,13
1157,LRPPRC,https://www.snpedia.com/index.php/LRPPRC,leucine rich pentatricopeptide repeat containing,LRPPRC,http://diseases.jensenlab.org/Search?query=LRPPRC,4
1158,LRRC43,https://www.snpedia.com/index.php/LRRC43,leucine rich repeat containing 43,LRRC43,http://diseases.jensenlab.org/Search?query=LRRC43,8
1159,LRRK2,https://www.snpedia.com/index.php/LRRK2,leucine-rich repeat kinase 2,LRRK2,http://diseases.jensenlab.org/Search?query=LRRK2,20
1160,LRTOMT,https://www.snpedia.com/index.php/LRTOMT,leucine rich transmembrane and O-methyltransferase domain containing,LRTOMT,http://diseases.jensenlab.org/Search?query=LRTOMT,4
1161,LSAMP,https://www.snpedia.com/index.php/LSAMP,null,LSAMP,http://diseases.jensenlab.org/Search?query=LSAMP,22
1162,LSP1,https://www.snpedia.com/index.php/LSP1,lymphocyte-specific protein 1,LSP1,http://diseases.jensenlab.org/Search?query=LSP1,10
1163,LTA,https://www.snpedia.com/index.php/LTA,"lymphotoxin alpha (TNF superfamily, member 1)",LTA,http://diseases.jensenlab.org/Search?query=LTA,18
1164,LTBP2,https://www.snpedia.com/index.php/LTBP2,latent transforming growth factor beta binding protein 2,LTBP2,http://diseases.jensenlab.org/Search?query=LTBP2,0
1165,LUM,https://www.snpedia.com/index.php/LUM,null,LUM,http://diseases.jensenlab.org/Search?query=LUM,1
1166,LYZL2,https://www.snpedia.com/index.php/LYZL2,null,LYZL2,http://diseases.jensenlab.org/Search?query=LYZL2,1
1167,LZTFL1,https://www.snpedia.com/index.php/LZTFL1,null,LZTFL1,http://diseases.jensenlab.org/Search?query=LZTFL1,74
1168,LZTS1,https://www.snpedia.com/index.php/LZTS1,"leucine zipper, putative tumor suppressor 1",LZTS1,http://diseases.jensenlab.org/Search?query=LZTS1,55
1169,MACC1,https://www.snpedia.com/index.php/MACC1,metastasis associated in colon cancer 1,MACC1,http://diseases.jensenlab.org/Search?query=MACC1,18
1170,MACROD2,https://www.snpedia.com/index.php/MACROD2,MACRO domain containing 2,MACROD2,http://diseases.jensenlab.org/Search?query=MACROD2,6
1171,MAD1L1,https://www.snpedia.com/index.php/MAD1L1,MAD1 mitotic arrest deficient-like 1 (yeast),MAD1L1,http://diseases.jensenlab.org/Search?query=MAD1L1,2
1172,MADCAM1,https://www.snpedia.com/index.php/MADCAM1,mucosal vascular addressin cell adhesion molecule 1,MADCAM1,http://diseases.jensenlab.org/Search?query=MADCAM1,9
1173,MAGEL2,https://www.snpedia.com/index.php/MAGEL2,MAGE family member L2,MAGEL2,http://diseases.jensenlab.org/Search?query=MAGEL2,17
1174,MAGI2,https://www.snpedia.com/index.php/MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",MAGI2,http://diseases.jensenlab.org/Search?query=MAGI2,44
1175,MAGT1,https://www.snpedia.com/index.php/MAGT1,magnesium transporter 1,MAGT1,http://diseases.jensenlab.org/Search?query=MAGT1,12
1176,MAK,https://www.snpedia.com/index.php/MAK,null,MAK,http://diseases.jensenlab.org/Search?query=MAK,5
1177,MAOA,https://www.snpedia.com/index.php/MAOA,monoamine oxidase A,MAOA,http://diseases.jensenlab.org/Search?query=MAOA,7
1178,MAOB,https://www.snpedia.com/index.php/MAOB,monoamine oxidase B,MAOB,http://diseases.jensenlab.org/Search?query=MAOB,5
1179,MAP2K1,https://www.snpedia.com/index.php/MAP2K1,null,MAP2K1,http://diseases.jensenlab.org/Search?query=MAP2K1,14
1180,MAP2K2,https://www.snpedia.com/index.php/MAP2K2,null,MAP2K2,http://diseases.jensenlab.org/Search?query=MAP2K2,0
1181,MAP2K5,https://www.snpedia.com/index.php/MAP2K5,mitogen-activated protein kinase kinase 5,MAP2K5,http://diseases.jensenlab.org/Search?query=MAP2K5,42
1182,MAP3K1,https://www.snpedia.com/index.php/MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",MAP3K1,http://diseases.jensenlab.org/Search?query=MAP3K1,0
1183,MAPK1,https://www.snpedia.com/index.php/MAPK1,mitogen-activated protein kinase 1,MAPK1,http://diseases.jensenlab.org/Search?query=MAPK1,1
1184,MAPK10,https://www.snpedia.com/index.php/MAPK10,null,MAPK10,http://diseases.jensenlab.org/Search?query=MAPK10,0
1185,MAPT,https://www.snpedia.com/index.php/MAPT,microtubule-associated protein tau,MAPT,http://diseases.jensenlab.org/Search?query=MAPT,0
1186,MARVELD2,https://www.snpedia.com/index.php/MARVELD2,MARVEL domain containing 2,MARVELD2,http://diseases.jensenlab.org/Search?query=MARVELD2,0
1187,MAT1A,https://www.snpedia.com/index.php/MAT1A,"methionine adenosyltransferase I, alpha",MAT1A,http://diseases.jensenlab.org/Search?query=MAT1A,10
1188,MAX,https://www.snpedia.com/index.php/MAX,null,MAX,http://diseases.jensenlab.org/Search?query=MAX,0
